0.10	564
0.10	574
0.10	585
0.10	585
0.10	586
0.10	593
0.10	603
0.10	608
0.10	608
0.10	615
0.10	627
0.10	575
0.10	576
0.10	577
0.10	585
0.20	558
0.20	579
0.20	583
0.20	587
0.20	589
0.20	594
0.20	612
0.30	565
0.30	577
0.30	577
0.30	592
0.30	600
0.30	607
0.40	548
0.40	553
0.40	560
0.40	585
0.40	596
0.40	600
0.40	602
0.40	607
0.40	608
0.40	609
0.40	610
0.40	610
0.40	611
0.40	629
0.40	630
0.40	553
0.40	553
0.40	567
0.50	538
0.50	552
0.50	555
0.50	584
0.50	589
0.50	591
0.50	592
0.50	594
0.50	597
0.50	598
0.50	600
0.50	602
0.50	604
0.50	605
0.50	607
0.50	607
0.50	609
0.50	609
0.50	611
0.50	613
0.50	615
0.50	620
0.50	626
0.50	632
0.50	635
0.50	576
0.50	604
0.50	617
0.50	651
0.60	557
0.60	577
0.60	603
0.60	607
0.60	615
0.70	585
0.70	595
0.70	602
0.70	603
0.80	551
0.80	569
0.80	576
0.80	597
0.90	526
0.90	537
0.90	545
0.90	560
1.00	322
1.00	444
1.00	479
1.00	481
1.00	485
1.00	485
1.00	495
1.00	518
1.00	561
1.00	569
1.00	573
1.10	381
1.10	397
1.10	420
1.10	430
1.10	437
1.10	494
1.10	496
1.20	329
1.20	457
1.30	210
1.30	245
1.30	291
1.30	363
1.30	411
1.40	241
1.50	103
1.50	123
1.50	45
1.50	53
1.50	76
1.50	97
1.60	1
1.60	19
1.60	2
1.60	27
1.60	70
1.70	13
1.70	17
1.70	18
1.80	0
1.80	0
1.80	0
1.90	0
1.90	3
2.00	0
2.00	0
2.00	0
