SURVIVORS INCOMINGSIZE CLOUDSIZE	BUFFERSIZE		ACTIVE			N		SUSCEPTIBLE	LB
20	320 		20		10 			0.11			200		152		132
2	320 		20		10 			0.11			200		0		-2
1	320 		20		10 			0.11			200		0		-1
---------------------------------------------AVERAGE-MEAN--------------------------------------------------------------------------------
7.666	320.000		20.000		10.000			.110			200.000		50.666		43.000
